114.119.132.207 - - [16/May/2021:06:48:17 -0300] "GET /css/images/repositorio/thumb_8466e8_imagen_2.jpg HTTP/1.1" 200 363 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
216.244.66.199 - - [16/May/2021:06:58:18 -0300] "GET /robots.txt HTTP/1.1" 200 31 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
216.244.66.199 - - [16/May/2021:07:09:07 -0300] "GET /css/images/repositorio/photo_2284f4_3bhs_9192.jpg HTTP/1.1" 200 753 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
216.244.66.199 - - [16/May/2021:07:09:38 -0300] "GET /css/images/repositorio/photo_f5c6b1_aa4b16_nacional.jpg HTTP/1.1" 200 753 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
216.244.66.199 - - [16/May/2021:07:46:56 -0300] "GET /robots.txt HTTP/1.1" 200 31 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
216.244.66.199 - - [16/May/2021:07:55:41 -0300] "GET /css/images/repositorio/photo_402a1d_delfina1.jpg HTTP/1.1" 200 753 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
216.244.66.199 - - [16/May/2021:07:56:12 -0300] "GET /css/images/repositorio/photo_d4795f_IMG_9459.jpg HTTP/1.1" 200 753 "-" "Mozilla/5.0 (compatible; DotBot/1.2; +https://opensiteexplorer.org/dotbot; help@moz.com)"
114.119.132.207 - - [16/May/2021:08:01:49 -0300] "GET /imagenes/novedad/cd2b4c_842328_04fb64.jpg HTTP/1.1" 200 424 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)"
157.55.39.45 - - [16/May/2021:08:55:32 -0300] "GET /css/images/repositorio/big_one_248997_440792442698573_840278713_n.jpg HTTP/1.1" 200 84152 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
40.77.167.47 - - [16/May/2021:09:05:34 -0300] "GET /css/images/repositorio/thumb_10001497_624610710937581_867272223_n.jpg HTTP/1.1" 200 5346 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
157.55.39.11 - - [16/May/2021:09:06:14 -0300] "GET /css/images/repositorio/photo_250fde_IMG_4259.jpg HTTP/1.1" 200 363 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
